t0 t1 t3 t4 t113 ||| t0 t1 t3 t4 t1 t3 ||| 0.030303 0.000557335 1 0.000633001 2.718 ||| 0-0 1-1 2-2 3-3 4-4 4-5 ||| 66 2 2
t0 t1 t3 t4 t2 t3 t20 ||| t0 t1 t3 t4 t2 t3 t20 ||| 0.222222 0.0217651 1 0.0203133 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 9 2 2
t0 t1 t3 t4 t30 t3 t20 ||| t0 t1 t3 t4 t30 t3 t20 ||| 0.333333 0.0244332 0.75 0.0301638 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 9 4 3
t0 t1 t3 t4 t30 t3 ||| t0 t1 t3 t4 t30 t3 ||| 0.285714 0.0461528 0.8 0.059501 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 14 5 4
t0 t1 t3 t4 t30 ||| t0 t1 t3 t4 t30 ||| 0.294118 0.0608963 0.714286 0.0800566 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 17 7 5
t0 t1 t36 t3 t20 t1 t36 ||| t0 t1 t36 t3 t20 t1 t36 ||| 0.25 0.0221247 0.666667 0.0218111 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 8 3 2
t0 t1 t36 t3 t20 t29 t27 ||| t0 t1 t36 t3 t20 t29 t27 ||| 0.4 0.0152169 1 0.0196735 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 5 2 2
t0 t1 t36 ||| t181 t752 t36 ||| 0.666667 0.00459524 0.00854701 1.70236e-07 2.718 ||| 0-0 1-1 2-2 ||| 3 234 2
t0 t103 t43 t3 ||| t0 t103 t43 t3 ||| 0.666667 0.0547686 1 0.050187 2.718 ||| 0-0 1-1 2-2 3-3 ||| 3 2 2
t0 t103 t43 ||| t0 t103 t43 ||| 0.4 0.0722644 1 0.067525 2.718 ||| 0-0 1-1 2-2 ||| 5 2 2
t0 t113 t20 t29 t27 ||| t0 t113 t20 t29 t27 ||| 1 0.0222165 0.285714 0.0230065 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 2 7 2
t0 t2 t3 t48 ||| t0 t2 t3 t48 ||| 0.75 0.0809758 0.5 0.073474 2.718 ||| 0-0 1-1 2-2 3-3 ||| 4 6 3
t0 t29 t20 t29 t45 ||| t0 t29 t20 t29 t45 ||| 0.666667 0.0465705 0.666667 0.0744482 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 3 3 2
t0 t29 t29 ||| t29 ||| 2.73041e-05 0.000436622 0.666667 0.490277 2.718 ||| 0-0 1-0 2-0 ||| 73249 3 2
t0 t3 t20 t0 t3 t20 ||| t0 t3 t20 t0 t3 t20 ||| 0.5 0.0237694 1 0.028312 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 4 2 2
t0 t3 t20 t0 t3 ||| t0 t3 t20 t0 t3 ||| 0.666667 0.0448989 1 0.0558481 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 3 2 2
t0 t3 t20 t23 ||| t0 t3 t20 t23 ||| 1 0.0917577 1 0.102728 2.718 ||| 0-0 1-1 2-2 3-3 ||| 2 2 2
t0 t3 t20 t29 t45 t23 ||| t0 t3 t20 t29 t45 t23 ||| 0.428571 0.0324155 0.75 0.0469467 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 7 4 3
t0 t3 t20 t29 t45 t49 ||| t0 t3 t20 t29 t45 t49 ||| 0.285714 0.0361998 1 0.0605398 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 7 2 2
t0 t3 t20 t3 t45 t23 ||| t0 t3 t20 t3 t45 t23 ||| 1 0.0379106 0.75 0.04849 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 3 4 3
t0 t3 t29 t27 t3 ||| t0 t3 t20 t29 t27 t1 t3 ||| 0.25 0.0575066 0.75 0.000483645 2.718 ||| 0-0 1-1 2-3 3-4 4-6 ||| 12 4 3
t0 t3 t29 t27 ||| t0 t3 t29 t27 ||| 1 0.075877 0.25 0.107789 2.718 ||| 0-0 1-1 2-2 3-3 ||| 3 12 3
t0 t3 t4 t30 ||| t0 t3 t4 t30 ||| 0.6 0.0934254 1 0.116373 2.718 ||| 0-0 1-1 2-2 3-3 ||| 5 3 3
t0 t3 t98 t109 t13 t1 t3 ||| t1 t3 t98 t109 t13 t1 t3 ||| 1 5.05537e-05 1 0.00160154 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 2 2 2
t0 t3 t98 t109 t13 t1 ||| t4 t1 t3 t98 t109 t13 t1 ||| 0.666667 6.67031e-05 0.5 0.000101139 2.718 ||| 0-1 1-2 2-3 3-4 4-5 5-6 ||| 3 4 2
t0 t3 t98 t109 t13 ||| t3 t4 t1 t3 t98 t109 t13 ||| 0.666667 0.000102334 0.333333 1.5029e-05 2.718 ||| 0-2 1-3 2-4 3-5 4-6 ||| 3 6 2
t0 t30 t3 t1 ||| t0 t30 t3 t20 t1 ||| 0.285714 0.119415 1 0.00795386 2.718 ||| 0-0 1-1 2-2 3-4 ||| 7 2 2
t0 t30 t3 t20 t1 ||| t124 tco t1 t3 t20 t1 ||| 0.666667 0.00109608 0.25 8.86189e-06 2.718 ||| 0-0 1-2 2-3 3-4 4-5 ||| 3 8 2
t0 t30 t3 t4 t3 t20 ||| t0 t30 t3 t4 t3 t20 ||| 0.666667 0.0374847 0.666667 0.0438471 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 3 3 2
t0 t30 t3 t4 t3 ||| t0 t30 t3 t4 t3 ||| 0.666667 0.0708063 1 0.0864926 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 3 2 2
t0 t30 t36 t3 t4 t3 ||| t0 t30 t36 t3 t4 t3 ||| 1 0.041151 1 0.0452668 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 2 2 2
t0 t30 t36 t3 t4 ||| t0 t30 t36 t3 t4 ||| 1 0.0542967 0.666667 0.0609051 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 2 3 2
t0 t344 t29 t23 ||| t0 t344 t29 t23 ||| 0.666667 0.0393187 0.333333 0.0451412 2.718 ||| 0-0 1-1 2-2 3-3 ||| 3 6 2
t0 t344 t29 ||| t0 t344 t29 ||| 0.75 0.0660642 0.333333 0.0739385 2.718 ||| 0-0 1-1 2-2 ||| 4 9 3
t0 t36 t2 t2 t3 ||| t430 t48 t408 t2 t2 t2 t3 ||| 1 0.000274247 0.666667 4.13157e-11 2.718 ||| 0-0 1-3 2-4 3-5 4-6 ||| 2 3 2
t0 t36 t2 t2 ||| t430 t48 t408 t2 t2 t2 ||| 1 0.000361855 0.5 5.5589e-11 2.718 ||| 0-0 1-3 2-4 3-5 ||| 2 4 2
t0 t36 t2 ||| t430 t48 t408 t2 t2 ||| 1 0.000645726 0.333333 1.27731e-10 2.718 ||| 0-0 1-3 2-4 ||| 2 6 2
t0 t36 t3 t20 t1 t36 t3 ||| t0 t36 t3 t20 t1 t36 t3 ||| 0.5 0.0257252 0.666667 0.0235646 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 4 3 2
t0 t36 t3 t289 ||| t0 t36 t3 t4 ||| 0.111111 0.00135081 1 0.036212 2.718 ||| 0-0 1-1 2-2 3-3 ||| 18 2 2
t0 t593 t1 t3 t29 ||| t0 t593 t1 t3 t29 ||| 0.75 0.0432366 0.6 0.0536834 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 4 5 3
t0 t593 t1 t3 t4 ||| t0 t593 t1 t3 t4 ||| 0.5 0.034024 0.666667 0.0404755 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 4 3 2
t1 t103 t1200 t4 t3 t26 ||| t1 t103 t43 t3 t26 ||| 0.0363636 1.25586e-05 1 0.0082469 2.718 ||| 0-0 1-1 2-2 3-2 4-3 5-4 ||| 55 2 2
t1 t103 t1200 t4 t3 ||| t1 t103 t43 t3 ||| 0.00913242 1.47812e-05 1 0.00881324 2.718 ||| 0-0 1-1 2-2 3-2 4-3 ||| 219 2 2
t1 t103 t1200 t4 ||| t1 t103 t43 ||| 0.0045977 1.95031e-05 1 0.0118579 2.718 ||| 0-0 1-1 2-2 3-2 ||| 435 2 2
t1 t103 t2 t3 ||| t1 t103 t2 t3 ||| 0.4 0.130475 0.666667 0.0908617 2.718 ||| 0-0 1-1 2-2 3-3 ||| 5 3 2
t1 t103 t228 t2 t3 t26 ||| t1 t103 t228 t2 t3 t26 ||| 1 0.0291727 0.666667 0.0194709 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 2 3 2
t1 t103 t228 t2 t3 ||| t1 t103 t228 t2 t3 ||| 1 0.0343355 0.285714 0.020808 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 2 7 2
t1 t103 t228 t2 ||| t1 t103 t228 t2 ||| 1 0.045304 0.222222 0.0279965 2.718 ||| 0-0 1-1 2-2 3-3 ||| 2 9 2
t1 t103 t228 t3 t4 t1 ||| t1 t103 t228 t3 t4 t1 ||| 1 0.0203665 0.4 0.0178449 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 2 5 2
